0,total_value
거주,0.14285714285714285
거즈,-0.38235294117647056
거지,-0.9435897435897436
거진,-0.5466666666666666
거짓,-0.8305084745762712
거짓말,-0.8243902439024391
거참,-0.8823529411764706
거추장,0.3846153846153846
거치,-0.16312056737588648
거치대,-0.1550561797752809
거친,-0.39999999999999997
거칠,-0.7656675749318802
거칠거칠,-0.6296296296296295
거트,0.4545454545454546
거품,-0.002188183807439792
걱정,0.5796897038081805
건,-0.43233288927200064
건가,-0.7
건가요,-0.8785557986870898
건강,0.6552162849872774
건강식,0.47826086956521735
건너,-0.3333333333333333
건담,0.4358974358974359
건대,-0.30434782608695654
건더기,-0.5348837209302326
건데,-0.4241007194244604
건데요,-0.19379844961240306
건드려도,-0.75
건드리,-0.6086956521739131
건들,-0.7241379310344827
건디,-0.6000000000000001
건물,-0.3898305084745763
건반,-0.7142857142857142
건성,0.3438735177865613
건승,0.8787878787878789
건어물,0.0714285714285714
건오징어,0.4285714285714286
건의,-0.2727272727272727
건저,-0.3846153846153846
건전지,-0.3991596638655462
건져,-0.4545454545454546
건졌,0.25
건조,0.07787391841779973
건조기,-0.33505154639175255
건조대,-0.18181818181818182
건조증,0.3333333333333333
건지,-0.8092071611253198
건진,-0.5294117647058822
건포도,-0.6666666666666667
걷,-0.5193370165745856
걸,-0.460997375328084
걸기,-0.368421052631579
걸까,-0.5384615384615385
걸까요,-0.774390243902439
걸때,-0.3333333333333333
걸러,-0.2068965517241379
걸러야,-0.9090909090909092
걸레,-0.8558558558558558
걸레질,-0.6923076923076923
걸레짝,-0.8666666666666667
걸려,-0.6092544987146529
걸려도,-0.6551724137931034
걸려서,-0.62339514978602
걸려요,-0.6506550218340612
걸렸,-0.3514132925897632
걸렸으니,-0.6363636363636365
걸로,-0.21240413471157055
걸루,-0.09523809523809529
걸리,-0.5206286836935168
걸리적거리,0.0
걸린,-0.38301559792027734
걸린다,-0.6153846153846154
걸린다고,-0.5526315789473684
걸린다는,-0.25
걸릴,-0.3925501432664757
걸릴까,-0.6129032258064515
걸릴지,-0.6470588235294117
걸림,-0.8441558441558441
걸립니다,-0.6833333333333333
걸맞,-0.21428571428571425
걸쇠,-0.7142857142857142
걸어가,-0.7777777777777777
걸어다니,-0.5272727272727273
걸어도,-0.5223880597014925
걸어서,-0.2571428571428571
걸어야,-0.3333333333333333
걸요,0.025641025641025605
걸으니,-0.8095238095238095
걸으면,-0.6956521739130435
걸음,-0.7142857142857142
걸이,-0.34104046242774566
걸죽,-0.4444444444444444
걸쭉,0.05882352941176472
걸쳐,-0.4610778443113772
걸쳐서,-0.028571428571428525
걸치,0.14018691588785043
걸칠,0.3846153846153846
검,-0.623225806451613
검붉,-0.7333333333333334
검사,-0.5978260869565217
검색,0.2671532846715328
검수,-0.9334461364918218
검은색,-0.4545454545454546
검정,-0.3079331941544885
검증,-0.18518518518518517
검지,-0.3548387096774193
검진,0.5
검출,-0.11111111111111116
검토,-0.8181818181818181
검품,-0.7083333333333333
겁,-0.2991452991452992
겁나,-0.5527950310559007
겁나게,-0.5064935064935066
겁내,-0.5384615384615385
겁니까,-0.9624060150375939
겁니다,-0.35195530726256985
것,-0.041535418650648304
겄,-0.35000000000000003
겉,-0.5210084033613445
겉감,-0.5483870967741935
겉껍질,-0.8
겉도,-0.6499999999999999
겉돌,-0.4883720930232558
겉면,-0.5802469135802468
겉모습,-0.43999999999999995
겉모양,-0.5
겉보기,-0.4343434343434343
겉봉투,-0.3846153846153846
겉옷,-0.15492957746478875
겉절이,-0.5384615384615385
겉표지,-0.5384615384615385
게,-0.3824233914264475
게다가,-0.4628378378378379
게살,-0.6363636363636365
게시,-0.5555555555555556
게시판,-0.8227848101265822
게여,0.7457627118644068
게요,0.6466190961603806
게이,0.3333333333333333
게이너,0.39999999999999997
게이밍,0.11111111111111116
게임,0.21975308641975305
게장,-0.9166666666666667
겐,0.6363636363636365
겔,0.38271604938271603
겜,-0.027027027027026973
겟,0.6164383561643836
겠,-0.2622601279317697
겠다,-0.423728813559322
겠다고,-0.19999999999999996
겠다는,-0.4615384615384615
겠어,0.0
겠어요,-0.06881405563689608
겠죠,0.04051172707889128
겠지만,0.19999999999999996
겡,0.4375
겨,-0.010810810810810756
겨대,0.7391304347826086
겨드랑,-0.7099236641221374
겨드랑이,-0.8058252427184467
겨우,-0.7761732851985559
겨우겨우,-0.8461538461538463
겨울,0.30237089964274116
겨울옷,-0.42500000000000004
겨울철,0.525179856115108
겨자,-0.3272727272727273
겨자색,-0.23076923076923078
격,0.19999999999999996
격식,0.2727272727272727
격하,0.6140350877192982
겪,-0.7209302325581395
견,-0.13953488372093026
견고,-0.05515587529976024
견고성,-0.375
견과,-0.22448979591836737
견디,-0.510204081632653
견딜,-0.11111111111111116
견본,0.30434782608695654
견본품,0.17647058823529416
견이,0.16666666666666669
견해,-0.16666666666666669
결,-0.05882352941176472
결과,-0.017160686427457106
결과물,-0.14285714285714285
결국,-0.7659831121833534
결로,-0.6666666666666667
결론,-0.5645756457564575
결속,-0.6666666666666667
결심,0.21212121212121215
결재,-0.3650793650793651
결정,-0.17310443490701005
결제,-0.4318555008210181
결코,-0.59375
결함,-0.75
결합,-0.7674418604651163
결혼,0.5862068965517242
결혼식,0.0
결혼식장,0.09090909090909088
겸,0.4585152838427948
겸사겸사,0.41935483870967744
겸용,0.17808219178082196
겹,-0.21897810218978098
겹겹이,-0.3333333333333333
겹쳐,-0.4492753623188406
겹쳐서,-0.4920634920634921
겹치,-0.148936170212766
겻,-0.5806451612903225
경,-0.24137931034482762
경계,-0.5789473684210527
경고,-0.6000000000000001
경과,-0.7241379310344827
경기,-0.23529411764705888
경기도,-0.5862068965517242
경남,0.17647058823529416
경동,-0.6000000000000001
경량,0.16666666666666669
경로,-0.3333333333333333
경북,0.04761904761904767
경비,-0.7777777777777777
경비실,-0.7707317073170732
경사,-0.14285714285714285
경우,-0.4375
경쟁력,0.29411764705882354
경제,0.6538461538461537
경차,0.23076923076923078
경첩,-0.736842105263158
경추,-0.4545454545454546
경품,0.6363636363636365
경향,0.11627906976744184
경험,-0.07552870090634439
경화,-0.8333333333333333
곁,0.5384615384615385
곁들여,0.8
계,0.125
계곡,0.3333333333333333
계기,-0.6000000000000001
계기판,-0.07216494845360821
계단,-0.52
계란,-0.4714285714285715
계란말이,-0.16666666666666669
계란밥,0.3636363636363636
계란찜,0.631578947368421
계량,0.3333333333333333
계량컵,0.2727272727272727
계면,0.8181818181818181
계산,-0.30526315789473685
계세요,0.18181818181818182
계셔서,0.7777777777777777
계셨,0.0
계속,-0.025516403402187082
계시,-0.2112676056338028
계신,0.09677419354838707
계신데,0.4545454545454546
계실,-0.5294117647058822
계실까,-0.07692307692307687
계십니다,0.5294117647058822
계약,-0.5652173913043479
계열,0.10236220472440949
계절,0.22875816993464054
계좌,-0.894736842105263
계통,0.09090909090909088
계피,-0.6296296296296295
계획,0.37777777777777777
고,-0.28833506403599857
고가,0.1685393258426966
고감,-0.4146341463414634
고개,-0.5702479338842976
고객,-0.7520741825280626
고고,0.24
고광택,0.18181818181818182
고구마,-0.4098939929328622
고글,-0.3846153846153846
고급,0.4480682388359258
고기,-0.21111111111111108
고깃집,0.07692307692307687
고냥,0.2727272727272727
고농,0.5327102803738317
고니,0.0714285714285714
고당,0.037037037037037035
고대로,-0.8999999999999999
고데,-0.6666666666666667
고도,-0.08333333333333331
고동색,-0.7333333333333334
고등어,-0.607843137254902
고등학교,0.09090909090909088
고등학생,0.5151515151515151
고딩,0.38888888888888884
고려,-0.39593908629441626
고로,-0.16666666666666669
고루,0.10344827586206895
고르,0.03153988868274582
고르지,-0.6363636363636365
고른,0.09268292682926832
고를,0.3333333333333333
고리,-0.7015384615384614
고마,0.17241379310344823
고마운,0.23809523809523814
고마워,0.6363636363636365
고마워요,0.7798165137614679
고마웠,0.5294117647058822
고만,-0.125
고만고만,0.22580645161290325
고맙,0.7822966507177034
고무,-0.5137948984903695
고무라,-0.09090909090909088
고무마개,-0.1578947368421053
고무신,-0.8333333333333333
고무장갑,-0.8181818181818181
고무줄,-0.3847715736040609
고물,-0.6190476190476191
고민,0.2979813196746008
고바,-0.411764705882353
고발,-0.9148936170212767
고병,-0.2727272727272727
고사,-0.75
고산,-0.6666666666666667
고삿,-0.4285714285714286
고생,-0.33461169702780436
고소,0.0778097982708934
고속,-0.6352941176470588
고속도,0.04761904761904767
고수,0.14285714285714285
고스란히,-0.75
고시,-0.6774193548387097
고시원,0.8181818181818181
고심,0.5
고약,-0.7049180327868851
고양이,0.36170212765957444
고여,-0.39999999999999997
고온,-0.4492753623188406
고와서,0.2727272727272727
고요,-0.27777777777777773
고용,0.028571428571428525
고운,0.39999999999999997
고유,-0.23076923076923078
고음,-0.368421052631579
